0.563928
0.000000
0.011090
Base Current vs. Voltage
Base Voltage	Base Current
2.52254e-019	-0.028577
-0.00992232	-0.0395039
-0.171712	-0.0294144
-0.135271	-0.0292365
-0.0988239	-0.0290588
-0.062375	-0.0288812
-0.0259305	-0.0287035
0.0105123	-0.0285256
0.046952	-0.0283476
0.0833863	-0.0281693
0.119809	-0.0279904
0.156212	-0.0278106
0.192574	-0.0276287
0.228856	-0.0274428
0.264967	-0.0272484
0.300741	-0.027037
0.33584	-0.026792
0.369621	-0.026481
0.400987	-0.0260493
0.428524	-0.0254262
0.451252	-0.0245626
0.469304	-0.0234652
0.483603	-0.0221801
0.495166	-0.0207583
0.504784	-0.0192392
0.513002	-0.0176501
0.520191	-0.0160096
0.526603	-0.0143301
0.532412	-0.0126206
0.537743	-0.0108872
0.54269	-0.0091345
0.54732	-0.007366
0.551686	-0.00558431
0.555829	-0.00379146
0.559782	-0.00198909
0.56357	-0.000178486
0.567214	0.00163928
0.570733	0.00346335
0.57414	0.00529298
0.577449	0.00712757
0.580668	0.00896659
0.583808	0.0108096
