0.594876
-0.030897
0.012434
Base Current vs. Voltage
Base Voltage	Base Current
-2.52254e-020	-0.0308965
-0.0168437	-0.0391578
-0.136583	-0.0311708
-0.0981273	-0.0310936
-0.059671	-0.0310165
-0.021216	-0.0309392
0.0172364	-0.0308618
0.0556834	-0.0307842
0.0941193	-0.030706
0.132533	-0.0306266
0.1709	-0.030545
0.209168	-0.0304584
0.247234	-0.0303617
0.284882	-0.0302441
0.32169	-0.0300845
0.35689	-0.0298445
0.38929	-0.0294645
0.417577	-0.0288789
0.441078	-0.0280539
0.460157	-0.0270078
0.47576	-0.025788
0.48883	-0.0244415
0.500086	-0.0230043
0.510027	-0.0215014
0.518993	-0.0199496
0.527218	-0.0183609
0.534866	-0.0167433
0.542056	-0.0151028
0.548874	-0.0134437
0.555387	-0.0117693
0.561644	-0.0100822
0.567686	-0.00838429
0.573542	-0.00667711
0.579239	-0.00496195
0.584797	-0.00323983
0.590232	-0.00151159
0.595559	0.00022206
0.600789	0.00196053
0.605934	0.00370332
0.611	0.00545
0.615996	0.0072002
0.620928	0.00895359
